usuario,estrelas,sentimento,comentario,comentario_limpo,cronologia,data_avaliacao,ano,periodo
thaisa pfaff,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945987,2022,pandemia
Allana Vitoria,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.945993,2022,pandemia
Luciano Galdino dos santos,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.946000,2022,pandemia
Jacqueline Sales,3,neutro,"Visitei esta biblioteca há uns 3 anos. Bonita e com bom acervo, porém os seguranças se comportavam como agentes penitenciários, você se sentia constrangida/o por simplesmente querer usufruir de uma biblioteca pública. Sensação totalmente diferente na Biblioteca Villa Lobos (biblioteca irmã desta). Não sei se continua desta forma, mas como não visitei recentemente, não sei informar se melhorou este aspecto.",visitei biblioteca uns 3 anos bonita bom acervo porém seguranças comportavam agentes penitenciários sentia constrangidao simplesmente querer usufruir biblioteca pública sensação totalmente diferente biblioteca villa lobos biblioteca irmã desta sei continua desta forma visitei recentemente sei informar melhorou aspecto,3 anos atrás,2022-10-29 17:06:31.946007,2022,pandemia
Thäliä Alvës,5,positivo,Sem comentário,comentário,3 anos atrás,2022-10-29 17:06:31.946013,2022,pandemia
Talita Savini,5,positivo,Local excelente com funcionários maravilhosos!!!Muito agradável mesmo!!!,local excelente funcionários maravilhososmuito agradável,4 anos atrás,2021-10-29 17:06:31.946020,2021,pandemia
Lincoln Silva,5,positivo,Lugar maravilhoso,lugar maravilhoso,4 anos atrás,2021-10-29 17:06:31.946027,2021,pandemia
Jennifer Rodrigues,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946033,2021,pandemia
silene alvares,5,positivo,"Incrível, como sempre. Gostaria que tivessem mais jornais do dia.",incrível sempre gostaria jornais dia,4 anos atrás,2021-10-29 17:06:31.946040,2021,pandemia
Digo Fabris,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946046,2021,pandemia
Maria da Penha Mamimoto,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946053,2021,pandemia
vanda penha de barros Barros,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946060,2021,pandemia
Jorge David Ramos,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946066,2021,pandemia
Tallyta De Araúújoo,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946073,2021,pandemia
José Antonio,5,positivo,Lugar lindo,lugar lindo,4 anos atrás,2021-10-29 17:06:31.946079,2021,pandemia
Samia SS,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946086,2021,pandemia
Jujuba,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946093,2021,pandemia
Hermes Nunes,5,positivo,Uma biblioteca gostosa de estar livros de boa aprendizagem e poltronas bancos confortáveis,biblioteca gostosa livros boa aprendizagem poltronas bancos confortáveis,4 anos atrás,2021-10-29 17:06:31.946099,2021,pandemia
Everton Lima Lins,5,positivo,"Bem calmo, nas árvores tem folhas e vc pode pisar no chão e caminhar por onde quiser realmente magnífico😋",bem calmo árvores folhas vc pode pisar chão caminhar onde quiser realmente magnífico😋,4 anos atrás,2021-10-29 17:06:31.946106,2021,pandemia
Hugo,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946113,2021,pandemia
Luiz Felipe Champloni,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946119,2021,pandemia
Beatriz Souza,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946126,2021,pandemia
Marco Antônio,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946132,2021,pandemia
Lívia Silva,5,positivo,"Lugar lindo, agradavel de uma formosura surreal, super recomendo pessoal bem atencioso desde a recepesão até os segurança 😌😍 se tornou um dos meus lugarea favoritos.",lugar lindo agradavel formosura surreal super recomendo pessoal bem atencioso desde recepesão segurança 😌😍 tornou lugarea favoritos,4 anos atrás,2021-10-29 17:06:31.946139,2021,pandemia
Julia Gomes,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946145,2021,pandemia
Josemar Alves,4,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946152,2021,pandemia
Marcelo,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946159,2021,pandemia
Matheus Nunes,4,positivo,"Ótimo, ambiente agradável",ótimo ambiente agradável,4 anos atrás,2021-10-29 17:06:31.946165,2021,pandemia
Sara Alves,5,positivo,Excelente para estudos e lazer. Amplo espaço com muitos títulos. Super indico.,excelente estudos lazer amplo espaço muitos títulos super indico,4 anos atrás,2021-10-29 17:06:31.946172,2021,pandemia
Laís Custódio,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946179,2021,pandemia
Anigreice Marcolino,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946186,2021,pandemia
Sam Mendes,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946193,2021,pandemia
Edinaldo da Silva Ribeiro,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946199,2021,pandemia
Kauane Lopes,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946206,2021,pandemia
Kaique Jesus,5,positivo,"Organizada,   ambiente super  descontraído  e educativo.",organizada ambiente super descontraído educativo,4 anos atrás,2021-10-29 17:06:31.946213,2021,pandemia
Andressa Almeida,5,positivo,"Espaco grande com livros projeto bem lebaado com o paraue em volta l, ótima opção de lazer para o fds.",espaco grande livros projeto bem lebaado paraue volta l ótima opção lazer fds,4 anos atrás,2021-10-29 17:06:31.946219,2021,pandemia
Lavinia Bento,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946229,2021,pandemia
Otaci DR,5,positivo,"Biblioteca fantástica, com acervo maravilhoso , muitas opções de informação e muita segurança no local.Facil acesso pelo metrô Carandiru linha azul.",biblioteca fantástica acervo maravilhoso muitas opções informação muita segurança localfacil acesso metrô carandiru linha azul,4 anos atrás,2021-10-29 17:06:31.946236,2021,pandemia
Jose Henrique pontes,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946242,2021,pandemia
Francisco Filgueira de Vasconcelos,5,positivo,"Este lugar tornou-se meu parque de diversão! HÁ vários anos!Tenho boas notícias e vivências, deste e neste local!Bom dia 👋🏻!",lugar tornouse parque diversão vários anostenho boas notícias vivências deste neste localbom dia 👋🏻,Editado 4 anos atrás,2021-10-29 17:06:31.946249,2021,pandemia
Hevelyn Manzolli Heveprys,5,positivo,Lugar agradável de mais 🤩,lugar agradável 🤩,4 anos atrás,2021-10-29 17:06:31.946257,2021,pandemia
IvanSampa Brasil,4,positivo,Ambiente lúdico e ótimo para as crianças.,ambiente lúdico ótimo crianças,4 anos atrás,2021-10-29 17:06:31.946264,2021,pandemia
Ana Gomes,5,positivo,Um lugar incrível! ❤️,lugar incrível ❤️,4 anos atrás,2021-10-29 17:06:31.946271,2021,pandemia
Tatiana Aguiar,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946277,2021,pandemia
Thalyne Nathiary,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946284,2021,pandemia
Luis Henrique Menezes,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946291,2021,pandemia
Iraci Barbosa,5,positivo,Maravilhoso,maravilhoso,4 anos atrás,2021-10-29 17:06:31.946297,2021,pandemia
suely suss oliveira,5,positivo,"Biblioteca maravilhosa. Acervo ótimo, funcionários super atenciosos. Mesmo eu sendo do ABC frequentarem o espaço. Amei!!!",biblioteca maravilhosa acervo ótimo funcionários super atenciosos sendo abc frequentarem espaço amei,4 anos atrás,2021-10-29 17:06:31.946304,2021,pandemia
Fernanda Helena ************,5,positivo,Excelente atendimento. Obrigada.,excelente atendimento obrigada,4 anos atrás,2021-10-29 17:06:31.946311,2021,pandemia
Artur José Braga de Mendonça,5,positivo,"Lugar muito agradável e o atendimento foi perfeito, todos muito atenciosos",lugar agradável atendimento perfeito todos atenciosos,4 anos atrás,2021-10-29 17:06:31.946317,2021,pandemia
Roberto Seabra da Costa - ME,5,positivo,Linda arquitetura e excelente acervo.Parabéns São Paulo.,linda arquitetura excelente acervoparabéns paulo,4 anos atrás,2021-10-29 17:06:31.946324,2021,pandemia
Beatriz Machado,5,positivo,Foi muito divertido o espaço é bem bacana e há uma variedade de livros!,divertido espaço bem bacana variedade livros,4 anos atrás,2021-10-29 17:06:31.946330,2021,pandemia
Yasmin,4,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946337,2021,pandemia
Beatriz França,5,positivo,Sou apaixonada pela biblioteca. Um verdadeiro oásis. Todos os funcionários são muito atenciosos. Lugar incrível.,apaixonada biblioteca verdadeiro oásis todos funcionários atenciosos lugar incrível,4 anos atrás,2021-10-29 17:06:31.946344,2021,pandemia
Thomas Moura,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946350,2021,pandemia
Daniel Santos,1,negativo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946357,2021,pandemia
Mackson Xavier,5,positivo,"Que pena que muita gente no mundo inteiro não tem um lugar desses pra estudar, ou ter um lugar de lazer como no parque também que é uma lindeza. Relaxa a mente vendo toda aquela natureza e os humanos deixando ainda mais impressionante o lugar!!!👏🏻👏🏻👏🏻👏🏻👏🏻",pena muita gente mundo inteiro lugar desses pra estudar ter lugar lazer parque lindeza relaxa mente vendo toda natureza humanos deixando ainda impressionante lugar👏🏻👏🏻👏🏻👏🏻👏🏻,4 anos atrás,2021-10-29 17:06:31.946364,2021,pandemia
Leyd Castro,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946370,2021,pandemia
eliana giovanoli,5,positivo,"Amo esse espaço. Poicas vezes não encontrei os livros que procurava. Já fiz vários cursos e todos com extrema qualidade. O espaço é amplo, limpo, arejado , bonito e convidativo a passar horas por lá.  Amo.",amo espaço poicas vezes encontrei livros procurava fiz vários cursos todos extrema qualidade espaço amplo limpo arejado bonito convidativo passar horas lá amo,4 anos atrás,2021-10-29 17:06:31.946377,2021,pandemia
Claudia Margaretha Elizabeth Hoffmann Ribeiro,5,positivo,"A biblioteca que fica no Parque da Juventude é  simplesmente maravilhosa.Moro em Santana e desde sua inauguração pude desfrutar de pesquisas escolares para meu filho, cursos, contação de histórias e entrevistas com atores renomados como Lázaro Ramos além de oficinas de língua portuguesa ( leitura, redação e outras ).",biblioteca fica parque juventude simplesmente maravilhosamoro santana desde inauguração pude desfrutar pesquisas escolares filho cursos contação histórias entrevistas atores renomados lázaro ramos além oficinas língua portuguesa leitura redação outras,4 anos atrás,2021-10-29 17:06:31.946384,2021,pandemia
Diego Ribeiro,5,positivo,Muito bom o atendimento  e tem bons livros.,bom atendimento bons livros,4 anos atrás,2021-10-29 17:06:31.946390,2021,pandemia
Adriana Bernardes,5,positivo,"Excelente! Muito organizado, limpo, vários monitores para ajudar, jogos, local de leitura agradável, livros, revistas, filmes, gibis, brinquedos, lanchonete.... top!",excelente organizado limpo vários monitores ajudar jogos local leitura agradável livros revistas filmes gibis brinquedos lanchonete top,4 anos atrás,2021-10-29 17:06:31.946397,2021,pandemia
Flávia Lopes,5,positivo,"Com certeza vale visitar, a biblioteca é linda e confortável, todos que trabalham lá são muito gentis, atenciosos e pacientes. Oferece cursos diversos muito interessantes.",certeza vale visitar biblioteca linda confortável todos trabalham lá gentis atenciosos pacientes oferece cursos diversos interessantes,4 anos atrás,2021-10-29 17:06:31.946404,2021,pandemia
evanildo alves,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946410,2021,pandemia
Adriana Bellegarde,3,neutro,"É muito boa quanto ao empréstimo de livros. Há também jornais, revistas para serem lidos lá na BSP. Mas não emprestam dicionários para serem utilizados em casa. Bom atendimento. Mas, às vezes, não conseguimos assistir alguns filmes porquê o CD/DVD apresenta problemas.",boa quanto empréstimo livros jornais revistas serem lidos lá bsp emprestam dicionários serem utilizados casa bom atendimento vezes conseguimos assistir alguns filmes porquê cddvd apresenta problemas,4 anos atrás,2021-10-29 17:06:31.946417,2021,pandemia
Roger Morall Cantor,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946424,2021,pandemia
Ana Lúcia Peluzzo,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946430,2021,pandemia
Breno Ignacio,5,positivo,"Por causa da falta de vacinas, não pude acessar o acervo.",causa falta vacinas pude acessar acervo,4 anos atrás,2021-10-29 17:06:31.946437,2021,pandemia
Roberto Oliveira de souza,4,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946444,2021,pandemia
Gabriela Correia,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946450,2021,pandemia
Daniel,4,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946457,2021,pandemia
Jaqueline Barreto dos Santos,5,positivo,"Biblioteca Viva que promove além da leitura várias atividades no local. Podemos através do nosso cadastro sugerir várias compras de títulos ajudando a enriquecer assim o acervo. O que mais me encanta é que muitas pessoas em situação de rua frequentam o espaço  e também são muito bem atendidas . Vejo , dessa forma , um espaço digno em prol humanitário.  Um dos melhores locais para se estar em São Paulo.",biblioteca viva promove além leitura várias atividades local podemos através cadastro sugerir várias compras títulos ajudando enriquecer assim acervo encanta muitas pessoas situação rua frequentam espaço bem atendidas vejo dessa forma espaço digno prol humanitário melhores locais paulo,4 anos atrás,2021-10-29 17:06:31.946463,2021,pandemia
Jessica Marinho,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946470,2021,pandemia
Alessandro Suenaga Wagner,3,neutro,"A biblioteca na parte interna em muitas ocasiões não há silêncio, pois alguns moradores de rua da região ficam gritando, perturbando as pessoas que só querem ler um livro ou mexer no computador. Fora isso, é um ambiente razoavelmente agradável.",biblioteca parte interna muitas ocasiões silêncio pois alguns moradores rua região ficam gritando perturbando pessoas querem ler livro mexer computador ambiente razoavelmente agradável,4 anos atrás,2021-10-29 17:06:31.946476,2021,pandemia
André Aranha,5,positivo,Um lugar muito bem cuidado e agradável. Nem acreditaria que fosse público se me falassem. O acervo é muito completo e vale pena gastar algumas horas.Uma pena que esteja fechada.  Mal posso esperar para voltar.,lugar bem cuidado agradável acreditaria público falassem acervo completo vale pena gastar algumas horasuma pena fechada mal posso esperar voltar,4 anos atrás,2021-10-29 17:06:31.946483,2021,pandemia
Davi Kawauchi,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946490,2021,pandemia
Rodrigo Tiago,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946496,2021,pandemia
J Geiger Filho,5,positivo,Uma experiência unica com o intelectual e o descanco mental,experiência unica intelectual descanco mental,4 anos atrás,2021-10-29 17:06:31.946503,2021,pandemia
Osiel Antunes,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946510,2021,pandemia
alessandra aguiar,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946516,2021,pandemia
Marcelo Cecéu,5,positivo,"Atendimento gentil, ágil e impecável. Faltam bons e atuais livros no acervo.",atendimento gentil ágil impecável faltam bons atuais livros acervo,4 anos atrás,2021-10-29 17:06:31.946523,2021,pandemia
ezequiel,3,neutro,"Wifi ruim, limpeza e segurança ótima, frequentadores sem educação alguma.Se procura um lugar silencioso para estudar sugiro a vila lobos",wifi ruim limpeza segurança ótima frequentadores educação algumase procura lugar silencioso estudar sugiro vila lobos,4 anos atrás,2021-10-29 17:06:31.946529,2021,pandemia
Jessica Rodrigues,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946536,2021,pandemia
Luiza Lopes,5,positivo,"Queria ter visitado a parte de dentro, mas por conta da pamdemia isso n é possível.  Mas os funcionários foram super atenciosos e educados! Fiz minha carteirinha, finalmente ❤️",queria ter visitado parte dentro conta pamdemia n possível funcionários super atenciosos educados fiz carteirinha finalmente ❤️,4 anos atrás,2021-10-29 17:06:31.946542,2021,pandemia
Gallazilla,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946549,2021,pandemia
Davidson ferreira,4,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946556,2021,pandemia
celso ossamu,5,positivo,É um ótimo serviço voltado a toda população de São Paulo,ótimo serviço voltado toda população paulo,4 anos atrás,2021-10-29 17:06:31.946562,2021,pandemia
Carlos Eduardo Santos,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946569,2021,pandemia
Natali,5,positivo,"Ótimo lugar de lazer e entretenimento, excelente atendimento, é um dos meu lugares favoritos de São Paulo",ótimo lugar lazer entretenimento excelente atendimento lugares favoritos paulo,4 anos atrás,2021-10-29 17:06:31.946576,2021,pandemia
Webinx Edouard,4,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946582,2021,pandemia
michael vaz,5,positivo,Excelente local,excelente local,4 anos atrás,2021-10-29 17:06:31.946589,2021,pandemia
Wagner ROCHA DE ARAUJO,2,negativo,imperio de vigilantes. que absurdo o barulho que fazem na passivisade dos funcionarios!,imperio vigilantes absurdo barulho fazem passivisade funcionarios,4 anos atrás,2021-10-29 17:06:31.946595,2021,pandemia
Marco Lourenço,1,negativo,Não gostei. Não pude acessar as instalações. Agora a pandemia e o covid é desculpa para tudo. Obedecendo as normas sanitárias não vejo problema em frequentar determinados locais. Chega de terror infundado! Ainda existe e continuará existindo vida após esse pesadelo fabricado!,gostei pude acessar instalações agora pandemia covid desculpa tudo obedecendo normas sanitárias vejo problema frequentar determinados locais chega terror infundado ainda existe continuará existindo vida após pesadelo fabricado,4 anos atrás,2021-10-29 17:06:31.946602,2021,pandemia
paulo henrique,4,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946608,2021,pandemia
gustavo augusto,4,positivo,"Realmente tem de tudo!!!...Ótimos livros , acesso a pc e games...Nao recebeu 5 stars ...pois tem Nóia demais!!!",realmente tudoótimos livros acesso pc gamesnao recebeu 5 stars pois nóia demais,4 anos atrás,2021-10-29 17:06:31.946615,2021,pandemia
Yara Cruz,4,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946624,2021,pandemia
Edmundo Nogueira,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946631,2021,pandemia
Igor Dias,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946638,2021,pandemia
Alexandre Vieira Calado,5,positivo,"Hoje tive nessa biblioteca, o atendimento como sempre impecável, nota 10 e ambiente totalmente respeitando as medidas de segurança e higiene referente a covid-19.",hoje nessa biblioteca atendimento sempre impecável nota 10 ambiente totalmente respeitando medidas segurança higiene referente covid19,4 anos atrás,2021-10-29 17:06:31.946644,2021,pandemia
Rodrigo Baiter,4,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946651,2021,pandemia
Djalma Sena Jr,5,positivo,Sem comentário,comentário,4 anos atrás,2021-10-29 17:06:31.946658,2021,pandemia
Bruna Adams,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946664,2020,pandemia
Catharina Souza,5,positivo,Amei a reabertura da biblioteca no dia 16. Tudo limpo e tinha um funcionário bem atencioso e bem educado ao me atender. Amo ser bem atendida.,amei reabertura biblioteca dia 16 tudo limpo funcionário bem atencioso bem educado atender amo bem atendida,5 anos atrás,2020-10-29 17:06:31.946671,2020,pandemia
Lu Alves (LUA),2,negativo,Lugar meio vazio,lugar meio vazio,5 anos atrás,2020-10-29 17:06:31.946677,2020,pandemia
Jordana,5,positivo,Excelente espaço...além de oferece estrutura possui um acervo muito rico e diversas atividades culturais.,excelente espaçoalém oferece estrutura possui acervo rico diversas atividades culturais,5 anos atrás,2020-10-29 17:06:31.946684,2020,pandemia
Laercio Silva,4,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946691,2020,pandemia
Lucas Bicalho,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946697,2020,pandemia
Fernando Albuquerque,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946704,2020,pandemia
Lilian Sousa,5,positivo,muito bom graças a DEUS foi ótimo até hoje gosto da biblioteca e sempre vou lá,bom graças deus ótimo hoje gosto biblioteca sempre vou lá,5 anos atrás,2020-10-29 17:06:31.946710,2020,pandemia
Ademir Bednarczuk Vicente,5,positivo,Um lugar de fácil acesso e conforto para trazer a família à convivência da cultura.,lugar fácil acesso conforto trazer família convivência cultura,5 anos atrás,2020-10-29 17:06:31.946717,2020,pandemia
Kátia Rodrigues,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946724,2020,pandemia
Larissa Mendes,5,positivo,Ótima biblioteca,ótima biblioteca,5 anos atrás,2020-10-29 17:06:31.946730,2020,pandemia
Gobind khalsa,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946737,2020,pandemia
Bétto Damas,4,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946744,2020,pandemia
Hosana Moraes,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946750,2020,pandemia
Hans Taru,2,negativo,"Infraestrutura OK, acervo OK, funcionários OK. O que MATA todo o investimento é a falta de educação e o desrespeito dos frequentadores que fazem do ambiente um parque de diversões / casa da mãe Joana.Não serve para estudar. Serve apenas para passar o tempo em Internet ou pegar livros e ir embora. Para se concentrar e estudar em paz e silêncio, busque outro lugar porque o conceito de Biblioteca não se aplica a este local.",infraestrutura ok acervo ok funcionários ok mata todo investimento falta educação desrespeito frequentadores fazem ambiente parque diversões casa mãe joananão serve estudar serve apenas passar tempo internet pegar livros ir embora concentrar estudar paz silêncio busque outro lugar porque conceito biblioteca aplica local,5 anos atrás,2020-10-29 17:06:31.946757,2020,pandemia
Lari Jeniffer,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946763,2020,pandemia
hemilly gomess,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946770,2020,pandemia
Rodrigo,2,negativo,"Muitas tomadas estragadas, o wi-fi é ruin, mesa de ping pong de baixo de sol, chuva e vento, não podemos entrar com sacola, polchete e similares podendo cair e quebrar celulares, notebooks etc... Crítica construtiva!",muitas tomadas estragadas wifi ruin mesa ping pong baixo sol chuva vento podemos entrar sacola polchete similares podendo cair quebrar celulares notebooks etc crítica construtiva,5 anos atrás,2020-10-29 17:06:31.946777,2020,pandemia
Natalia Moriyama,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946794,2020,pandemia
Joel A. Rodriguez,5,positivo,"Ótimo lugar, suporte e qualidade dos funcionários muito bom, melhor lugar!!!",ótimo lugar suporte qualidade funcionários bom melhor lugar,5 anos atrás,2020-10-29 17:06:31.946801,2020,pandemia
Valdenisio Pontes,5,positivo,"Lugar excelente para estudos, leitura, assistir filmes e navegar na internet, tudo grátis. Basta um documento com foto e fazer um cadastro. Eu tenho notebook, geralmente fico lá das 10h até as 18h",lugar excelente estudos leitura assistir filmes navegar internet tudo grátis basta documento foto fazer cadastro notebook geralmente fico lá 10h 18h,5 anos atrás,2020-10-29 17:06:31.946808,2020,pandemia
Gabriel Oliveira,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946815,2020,pandemia
isaque vieira,5,positivo,"Boa estrutura, acesso a cultura, muito organizado e bonito. Bom acervo.",boa estrutura acesso cultura organizado bonito bom acervo,5 anos atrás,2020-10-29 17:06:31.946822,2020,pandemia
Rosalynn Mundaca,5,positivo,Excelente opción cultural en medio de la ciudad.,excelente opción cultural en medio la ciudad,5 anos atrás,2020-10-29 17:06:31.946828,2020,pandemia
Cezar Prado,4,positivo,"Poucos livros de filosofia, mas muito amplo e agradável.",poucos livros filosofia amplo agradável,5 anos atrás,2020-10-29 17:06:31.946835,2020,pandemia
Celso jr,4,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946841,2020,pandemia
Adelita Gomes,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946848,2020,pandemia
Natalia Mendes,5,positivo,Biblioteca maravilhosa e aconchegante. Da para passar horas la em um domingo ou em um dia da semana mesmo,biblioteca maravilhosa aconchegante passar horas la domingo dia semana,5 anos atrás,2020-10-29 17:06:31.946855,2020,pandemia
Lucas Miranda,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946862,2020,pandemia
Ebrax Comx,5,positivo,Espaço incrível! Vá e trabelhe seu cérebro. Deveria ficar aberto até mais tarde.,espaço incrível vá trabelhe cérebro deveria ficar aberto tarde,5 anos atrás,2020-10-29 17:06:31.946873,2020,pandemia
Leticia Alves Ribeiro,5,positivo,Sem comentário,comentário,5 anos atrás,2020-10-29 17:06:31.946880,2020,pandemia
NASHIRA YUGA,5,positivo,"A Biblioteca é muito bem organizada. Na parte superior para os adultos e a parte térrea para as crianças e adolescentes.São vários computadores disponíveis pela biblioteca.É  aconchegante .  Tem tendas para as crianças, jogos e muitas atrações.",biblioteca bem organizada parte superior adultos parte térrea crianças adolescentessão vários computadores disponíveis bibliotecaé aconchegante tendas crianças jogos muitas atrações,5 anos atrás,2020-10-29 17:06:31.946886,2020,pandemia
Joaquim Neto,5,positivo,Ótimo reduto para patinadores,ótimo reduto patinadores,5 anos atrás,2020-10-29 17:06:31.946893,2020,pandemia
Sandro Bruno,5,positivo,Sem comentário,comentário,6 anos atrás,2019-10-30 17:06:31.946900,2019,pré-pandemia
Laura Beatriz Santos,5,positivo,"Uma biblioteca fantástica! Minha primeira vez, e já sou apaixonada. Um lugar muito aconchegante, com diversos livros raríssimos de se encontrar e uma variedade de leitura infantil, incentivando a cada dia os pequenos.",biblioteca fantástica primeira vez apaixonada lugar aconchegante diversos livros raríssimos encontrar variedade leitura infantil incentivando cada dia pequenos,6 anos atrás,2019-10-30 17:06:31.946906,2019,pré-pandemia
Juliana Sanay,5,positivo,"Minha biblioteca preferida. O acervo de livros é exuberante, tanto o infantil quanto o adulto. Bato palmas para a divisão do espaço pois se faz muito efetivo, o primeiro andar é destinado às crianças e o segundo aos maiores de 18 anos. Existem jogos e filmes disponíveis também.",biblioteca preferida acervo livros exuberante tanto infantil quanto adulto bato palmas divisão espaço pois faz efetivo primeiro andar destinado crianças segundo maiores 18 anos existem jogos filmes disponíveis,6 anos atrás,2019-10-30 17:06:31.946913,2019,pré-pandemia
Jaime Costa,4,positivo,"A biblioteca é bonita e tem um bom acervo. Em compensação,  é frequentada por pessoas mal educadas. Como se consegue ler com tanto barulho? Até mesmo os funcionários são tagarelas.",biblioteca bonita bom acervo compensação frequentada pessoas mal educadas consegue ler tanto barulho funcionários tagarelas,6 anos atrás,2019-10-30 17:06:31.946919,2019,pré-pandemia
Edson Santos,4,positivo,"Local bem bacana, porém super movimentado em alguns momentos. Se espera silêncio para seus estudos, fuja. Publico bem diversificado.",local bem bacana porém super movimentado alguns momentos espera silêncio estudos fuja publico bem diversificado,6 anos atrás,2019-10-30 17:06:31.946926,2019,pré-pandemia
Léo Detrich,5,positivo,Sem comentário,comentário,6 anos atrás,2019-10-30 17:06:31.946933,2019,pré-pandemia
